manifest_index,project_id,project,tool,repetition,execution_status,terminal,returncode,attempt,started_at,ended_at,error_class,error_excerpt,source_run_dir,reservation_depth,canonical_state_present
3,crust__amp,amp,crust,2,completed,True,0,1,2026-08-05T19:07:49.478856Z,2026-08-05T19:57:53.385752Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__amp/rep2,0,True
4,crust__approxidate,approxidate,crust,0,running,False,,1,2026-08-05T19:16:55.544780Z,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__approxidate/rep0,0,True
4,crust__approxidate,approxidate,crust,1,running,False,,1,2026-08-05T19:18:53.989132Z,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__approxidate/rep1,0,True
4,crust__approxidate,approxidate,crust,2,running,False,,1,2026-08-05T19:45:31.370510Z,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__approxidate/rep2,0,True
5,crust__avalanche,avalanche,crust,0,running,False,,1,2026-08-05T19:51:06.422947Z,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__avalanche/rep0,0,True
5,crust__avalanche,avalanche,crust,1,completed,True,0,1,2026-08-05T19:57:53.389452Z,2026-08-05T20:55:39.746613Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__avalanche/rep1,0,True
5,crust__avalanche,avalanche,crust,2,running,False,,1,2026-08-05T20:14:25.203140Z,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__avalanche/rep2,0,True
6,crust__bhshell,bhshell,crust,0,running,False,,1,2026-08-05T20:55:39.752009Z,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bhshell/rep0,0,True
6,crust__bhshell,bhshell,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bhshell/rep1,0,False
6,crust__bhshell,bhshell,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bhshell/rep2,0,False
7,crust__bigint,bigint,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep0,0,False
7,crust__bigint,bigint,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep1,0,False
7,crust__bigint,bigint,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep2,0,False
8,crust__bitset,bitset,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bitset/rep0,0,False
8,crust__bitset,bitset,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bitset/rep1,0,False
8,crust__bitset,bitset,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bitset/rep2,0,False
9,crust__blt,blt,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep0,0,False
9,crust__blt,blt,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep1,0,False
9,crust__blt,blt,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep2,0,False
10,crust__bostree,bostree,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bostree/rep0,0,False
10,crust__bostree,bostree,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bostree/rep1,0,False
10,crust__bostree,bostree,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bostree/rep2,0,False
11,crust__btree-map,btree-map,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__btree-map/rep0,0,False
11,crust__btree-map,btree-map,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__btree-map/rep1,0,False
11,crust__btree-map,btree-map,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__btree-map/rep2,0,False
12,crust__c-aces,c-aces,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-aces/rep0,0,False
12,crust__c-aces,c-aces,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-aces/rep1,0,False
12,crust__c-aces,c-aces,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-aces/rep2,0,False
13,crust__c-blind-rsa-signatures,c-blind-rsa-signatures,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-blind-rsa-signatures/rep0,0,False
13,crust__c-blind-rsa-signatures,c-blind-rsa-signatures,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-blind-rsa-signatures/rep1,0,False
13,crust__c-blind-rsa-signatures,c-blind-rsa-signatures,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-blind-rsa-signatures/rep2,0,False
14,crust__c-string,c-string,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-string/rep0,0,False
14,crust__c-string,c-string,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-string/rep1,0,False
14,crust__c-string,c-string,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-string/rep2,0,False
15,crust__carrays,carrays,crust,0,completed,True,0,1,2026-08-05T18:31:35.089377Z,2026-08-05T20:15:16.608691Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__carrays/rep0,1,True
15,crust__carrays,carrays,crust,1,completed,True,0,1,2026-08-05T18:31:35.090376Z,2026-08-05T19:39:36.776344Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__carrays/rep1,1,True
15,crust__carrays,carrays,crust,2,completed,True,0,1,2026-08-05T18:31:35.091209Z,2026-08-05T19:44:07.053787Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__carrays/rep2,1,True
16,crust__cfsm,cfsm,crust,0,failed,True,1,1,2026-08-05T18:31:35.092850Z,2026-08-05T19:16:10.470500Z,max_repair_terminal,[codeweaver] project=crust__cfsm app_id=full-crust__cfsm-rep0 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep0/pipeline/burr.db,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep0,1,True
16,crust__cfsm,cfsm,crust,1,failed,True,1,1,2026-08-05T18:31:35.093752Z,2026-08-05T19:16:11.507082Z,max_repair_terminal,[codeweaver] project=crust__cfsm app_id=full-crust__cfsm-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep1/pipeline/burr.db,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep1,1,True
16,crust__cfsm,cfsm,crust,2,failed,True,1,1,2026-08-05T18:31:35.097315Z,2026-08-05T19:17:22.078777Z,max_repair_terminal,[codeweaver] project=crust__cfsm app_id=full-crust__cfsm-rep2 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep2/pipeline/burr.db,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep2,1,True
17,crust__chtrie,chtrie,crust,0,completed,True,0,1,2026-08-05T19:16:10.480972Z,2026-08-05T20:12:49.639461Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__chtrie/rep0,1,True
17,crust__chtrie,chtrie,crust,1,completed,True,0,1,2026-08-05T19:16:11.513705Z,2026-08-05T20:06:53.822143Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__chtrie/rep1,1,True
17,crust__chtrie,chtrie,crust,2,completed,True,0,1,2026-08-05T19:17:22.082607Z,2026-08-05T20:12:16.808257Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__chtrie/rep2,1,True
18,crust__circularbuffer,circularbuffer,crust,0,completed,True,0,1,2026-08-05T19:39:36.784002Z,2026-08-05T20:25:03.763137Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__circularbuffer/rep0,1,True
18,crust__circularbuffer,circularbuffer,crust,1,completed,True,0,1,2026-08-05T19:44:07.076243Z,2026-08-05T20:35:30.141811Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__circularbuffer/rep1,1,True
18,crust__circularbuffer,circularbuffer,crust,2,completed,True,0,1,2026-08-05T20:06:53.825307Z,2026-08-05T20:57:01.362368Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__circularbuffer/rep2,1,True
19,crust__cissy,cissy,crust,0,running,False,,1,2026-08-05T20:12:16.812930Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep0,1,True
19,crust__cissy,cissy,crust,1,running,False,,1,2026-08-05T20:12:49.642299Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep1,1,True
19,crust__cissy,cissy,crust,2,failed,True,1,1,2026-08-05T20:15:16.614014Z,2026-08-05T21:07:45.542714Z,max_repair_terminal,[codeweaver] project=crust__cissy app_id=full-crust__cissy-rep2 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep2/pipeline/burr.db,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep2,1,True
20,crust__cjson,cjson,crust,0,running,False,,1,2026-08-05T20:25:03.767034Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cjson/rep0,1,True
20,crust__cjson,cjson,crust,1,running,False,,1,2026-08-05T20:35:30.147521Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cjson/rep1,1,True
20,crust__cjson,cjson,crust,2,running,False,,1,2026-08-05T20:57:01.368001Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cjson/rep2,1,True
21,crust__clhash,clhash,crust,0,running,False,,1,2026-08-05T21:07:45.548719Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clhash/rep0,1,True
21,crust__clhash,clhash,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clhash/rep1,1,True
21,crust__clhash,clhash,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clhash/rep2,1,True
22,crust__clog,clog,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clog/rep0,1,True
22,crust__clog,clog,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clog/rep1,1,True
22,crust__clog,clog,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clog/rep2,1,True
23,crust__coroutine,coroutine,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__coroutine/rep0,1,True
23,crust__coroutine,coroutine,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__coroutine/rep1,1,True
23,crust__coroutine,coroutine,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__coroutine/rep2,1,True
24,crust__cset,cset,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cset/rep0,1,True
24,crust__cset,cset,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cset/rep1,1,True
24,crust__cset,cset,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cset/rep2,1,True
25,crust__csyncmers,csyncmers,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__csyncmers/rep0,1,True
25,crust__csyncmers,csyncmers,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__csyncmers/rep1,1,True
25,crust__csyncmers,csyncmers,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__csyncmers/rep2,1,True
26,crust__dict,dict,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__dict/rep0,1,True
26,crust__dict,dict,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__dict/rep1,1,True
26,crust__dict,dict,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__dict/rep2,1,True
27,crust__emlang,emlang,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__emlang/rep0,1,True
27,crust__emlang,emlang,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__emlang/rep1,1,True
27,crust__emlang,emlang,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__emlang/rep2,1,True
28,crust__expr,expr,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__expr/rep0,1,True
28,crust__expr,expr,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__expr/rep1,1,True
28,crust__expr,expr,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__expr/rep2,1,True
29,crust__fasthamming,fasthamming,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__fasthamming/rep0,1,True
29,crust__fasthamming,fasthamming,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__fasthamming/rep1,1,True
29,crust__fasthamming,fasthamming,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__fasthamming/rep2,1,True
30,crust__fft,fft,crust,0,completed,True,0,1,2026-08-05T18:26:34.839444Z,2026-08-05T19:21:56.906849Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fft/rep0,1,True
30,crust__fft,fft,crust,1,completed,True,0,1,2026-08-05T18:26:34.840690Z,2026-08-05T19:12:31.703359Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fft/rep1,1,True
30,crust__fft,fft,crust,2,completed,True,0,1,2026-08-05T18:26:34.842340Z,2026-08-05T19:13:47.478043Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fft/rep2,1,True
31,crust__file2str,file2str,crust,0,completed,True,0,1,2026-08-05T18:26:34.846374Z,2026-08-05T19:28:05.560290Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__file2str/rep0,1,True
31,crust__file2str,file2str,crust,1,completed,True,0,1,2026-08-05T18:26:34.858571Z,2026-08-05T18:58:43.230640Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__file2str/rep1,1,True
31,crust__file2str,file2str,crust,2,completed,True,0,1,2026-08-05T18:26:34.862982Z,2026-08-05T19:33:49.654665Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__file2str/rep2,1,True
32,crust__fleur,fleur,crust,0,completed,True,0,1,2026-08-05T18:58:43.252181Z,2026-08-05T20:10:54.139684Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fleur/rep0,1,True
32,crust__fleur,fleur,crust,1,completed,True,0,1,2026-08-05T19:12:31.733079Z,2026-08-05T20:58:33.122516Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fleur/rep1,1,True
32,crust__fleur,fleur,crust,2,completed,True,0,1,2026-08-05T19:13:47.527374Z,2026-08-05T20:39:46.203117Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fleur/rep2,1,True
33,crust__fs_c,fs_c,crust,0,completed,True,0,1,2026-08-05T19:21:56.913386Z,2026-08-05T20:56:02.210847Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fs_c/rep0,1,True
33,crust__fs_c,fs_c,crust,1,failed,True,1,1,2026-08-05T19:28:05.573602Z,2026-08-05T20:16:18.556370Z,max_repair_terminal,[codeweaver] project=crust__fs_c app_id=full-crust__fs_c-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fs_c/rep1/pipeline/burr.db,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fs_c/rep1,1,True
33,crust__fs_c,fs_c,crust,2,running,False,,1,2026-08-05T19:33:49.666129Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fs_c/rep2,1,True
34,crust__fslib,fslib,crust,0,failed,True,1,1,2026-08-05T20:10:54.143485Z,2026-08-05T21:12:30.095142Z,max_repair_terminal,[codeweaver] project=crust__fslib app_id=full-crust__fslib-rep0 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fslib/rep0/pipeline/burr.db,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fslib/rep0,1,True
34,crust__fslib,fslib,crust,1,failed,True,1,1,2026-08-05T20:16:18.559594Z,2026-08-05T21:15:35.543719Z,max_repair_terminal,[codeweaver] project=crust__fslib app_id=full-crust__fslib-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fslib/rep1/pipeline/burr.db,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fslib/rep1,1,True
34,crust__fslib,fslib,crust,2,running,False,,1,2026-08-05T20:39:46.207261Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__fslib/rep2,1,True
35,crust__genetic-neural-network-for-simple-control,genetic-neural-network-for-simple-control,crust,0,running,False,,1,2026-08-05T20:56:02.215586Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__genetic-neural-network-for-simple-control/rep0,1,True
35,crust__genetic-neural-network-for-simple-control,genetic-neural-network-for-simple-control,crust,1,running,False,,1,2026-08-05T20:58:33.134181Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__genetic-neural-network-for-simple-control/rep1,1,True
35,crust__genetic-neural-network-for-simple-control,genetic-neural-network-for-simple-control,crust,2,running,False,,1,2026-08-05T21:12:30.103321Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__genetic-neural-network-for-simple-control/rep2,1,True
36,crust__geofence,geofence,crust,0,running,False,,1,2026-08-05T21:15:35.549627Z,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__geofence/rep0,1,True
36,crust__geofence,geofence,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__geofence/rep1,1,True
36,crust__geofence,geofence,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__geofence/rep2,1,True
37,crust__gfc,gfc,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__gfc/rep0,1,True
37,crust__gfc,gfc,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__gfc/rep1,1,True
37,crust__gfc,gfc,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__gfc/rep2,1,True
38,crust__gorilla-paper-encode,gorilla-paper-encode,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__gorilla-paper-encode/rep0,1,True
38,crust__gorilla-paper-encode,gorilla-paper-encode,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__gorilla-paper-encode/rep1,1,True
38,crust__gorilla-paper-encode,gorilla-paper-encode,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__gorilla-paper-encode/rep2,1,True
39,crust__graph-recogniser,graph-recogniser,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__graph-recogniser/rep0,1,True
39,crust__graph-recogniser,graph-recogniser,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__graph-recogniser/rep1,1,True
39,crust__graph-recogniser,graph-recogniser,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__graph-recogniser/rep2,1,True
40,crust__hamta,hamta,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__hamta/rep0,1,True
40,crust__hamta,hamta,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__hamta/rep1,1,True
40,crust__hamta,hamta,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__hamta/rep2,1,True
41,crust__holdem-odds,holdem-odds,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__holdem-odds/rep0,1,True
41,crust__holdem-odds,holdem-odds,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__holdem-odds/rep1,1,True
41,crust__holdem-odds,holdem-odds,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__holdem-odds/rep2,1,True
42,crust__hydra,hydra,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__hydra/rep0,1,True
42,crust__hydra,hydra,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__hydra/rep1,1,True
42,crust__hydra,hydra,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__hydra/rep2,1,True
43,crust__impcheck,impcheck,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__impcheck/rep0,1,True
43,crust__impcheck,impcheck,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__impcheck/rep1,1,True
43,crust__impcheck,impcheck,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__impcheck/rep2,1,True
44,crust__inversion_list,inversion_list,crust,0,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__inversion_list/rep0,1,True
44,crust__inversion_list,inversion_list,crust,1,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__inversion_list/rep1,1,True
44,crust__inversion_list,inversion_list,crust,2,queued,False,,,,,,,/opt/codeweaver-gpt-sol-comparison/runs-shard3/full/crust__inversion_list/rep2,1,True
45,crust__jccc,jccc,crust,0,completed,True,0,1,2026-08-05T18:38:51.531616Z,2026-08-05T20:43:02.963852Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__jccc/rep0,2,True
45,crust__jccc,jccc,crust,1,completed,True,0,1,2026-08-05T18:38:51.532733Z,2026-08-05T20:41:33.388409Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__jccc/rep1,2,True
45,crust__jccc,jccc,crust,2,completed,True,0,1,2026-08-05T18:38:51.532235Z,2026-08-05T20:36:46.569783Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__jccc/rep2,2,True
46,crust__kairocompiler,kairocompiler,crust,0,completed,True,0,1,2026-08-05T18:38:51.535226Z,2026-08-05T20:48:43.554341Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__kairocompiler/rep0,2,True
46,crust__kairocompiler,kairocompiler,crust,1,completed,True,0,1,2026-08-05T18:38:51.534566Z,2026-08-05T20:26:02.381438Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__kairocompiler/rep1,2,True
46,crust__kairocompiler,kairocompiler,crust,2,completed,True,0,1,2026-08-05T18:38:51.536284Z,2026-08-05T20:47:51.601566Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__kairocompiler/rep2,2,True
47,crust__kd3,kd3,crust,0,failed,True,1,1,2026-08-05T18:38:51.537282Z,2026-08-05T19:31:28.782725Z,max_repair_terminal,[codeweaver] project=crust__kd3 app_id=full-crust__kd3-rep0 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__kd3/rep0/pipeline/burr.db,/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__kd3/rep0,2,True
47,crust__kd3,kd3,crust,1,completed,True,0,1,2026-08-05T18:38:51.552498Z,2026-08-05T21:10:05.220077Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard7/full/crust__kd3/rep1,2,True
