id,tool,project,source_language,target_language,source_rel_path,oracle_rel_path,scaffold_rel_path,ground_truth_target_rel_path,loc_source,test_count_source,function_count_source,status,notes,discovered_at
crust__csyncmers,crust,csyncmers,C,Rust,data/tool_projects/crust/csyncmers/c,,data/tool_projects/crust/csyncmers/rust,,278,1,8,ok,,2026-07-31T21:08:30.158703Z
crust__dict,crust,dict,C,Rust,data/tool_projects/crust/dict/c,,data/tool_projects/crust/dict/rust,,1107,6,27,ok,,2026-07-31T21:08:30.171150Z
crust__emlang,crust,emlang,C,Rust,data/tool_projects/crust/emlang/c,,data/tool_projects/crust/emlang/rust,,995,1,50,ok,,2026-07-31T21:08:30.190785Z
crust__expr,crust,expr,C,Rust,data/tool_projects/crust/expr/c,,data/tool_projects/crust/expr/rust,,1023,2,23,ok,,2026-07-31T21:08:30.197420Z
crust__fasthamming,crust,fasthamming,C,Rust,data/tool_projects/crust/fasthamming/c,,data/tool_projects/crust/fasthamming/rust,,404,7,17,ok,,2026-07-31T21:08:30.207628Z
crust__fft,crust,fft,C,Rust,data/tool_projects/crust/fft/c,,data/tool_projects/crust/fft/rust,,189,1,8,ok,,2026-07-31T21:08:30.216694Z
crust__file2str,crust,file2str,C,Rust,data/tool_projects/crust/file2str/c,,data/tool_projects/crust/file2str/rust,,439,1,29,ok,,2026-07-31T21:08:30.225529Z
crust__fleur,crust,fleur,C,Rust,data/tool_projects/crust/fleur/c,,data/tool_projects/crust/fleur/rust,,1250,7,32,ok,,2026-07-31T21:08:30.256429Z
crust__fs_c,crust,fs_c,C,Rust,data/tool_projects/crust/fs_c/c,,data/tool_projects/crust/fs_c/rust,,581,17,18,ok,,2026-07-31T21:08:30.264452Z
crust__fslib,crust,fslib,C,Rust,data/tool_projects/crust/fslib/c,,data/tool_projects/crust/fslib/rust,,2243,54,113,ok,,2026-07-31T21:08:30.299300Z
crust__genetic-neural-network-for-simple-control,crust,genetic-neural-network-for-simple-control,C,Rust,data/tool_projects/crust/genetic-neural-network-for-simple-control/c,,data/tool_projects/crust/genetic-neural-network-for-simple-control/rust,,3260,23,115,ok,,2026-07-31T21:08:30.356669Z
crust__geofence,crust,geofence,C,Rust,data/tool_projects/crust/geofence/c,,data/tool_projects/crust/geofence/rust,,279,1,6,ok,,2026-07-31T21:08:30.363747Z
crust__gfc,crust,gfc,C,Rust,data/tool_projects/crust/gfc/c,,data/tool_projects/crust/gfc/rust,,226,1,14,ok,,2026-07-31T21:08:30.371671Z
crust__gorilla-paper-encode,crust,gorilla-paper-encode,C,Rust,data/tool_projects/crust/gorilla-paper-encode/c,,data/tool_projects/crust/gorilla-paper-encode/rust,,536,1,27,ok,,2026-07-31T21:08:30.379924Z
crust__graph-recogniser,crust,graph-recogniser,C,Rust,data/tool_projects/crust/graph-recogniser/c,,data/tool_projects/crust/graph-recogniser/rust,,531,2,33,ok,,2026-07-31T21:08:30.398341Z
crust__hamta,crust,hamta,C,Rust,data/tool_projects/crust/hamta/c,,data/tool_projects/crust/hamta/rust,,536,6,28,ok,,2026-07-31T21:08:30.408094Z
crust__holdem-odds,crust,holdem-odds,C,Rust,data/tool_projects/crust/holdem-odds/c,,data/tool_projects/crust/holdem-odds/rust,,1597,24,90,ok,,2026-07-31T21:08:30.430872Z
crust__hydra,crust,hydra,C,Rust,data/tool_projects/crust/hydra/c,,data/tool_projects/crust/hydra/rust,,255,2,18,ok,,2026-07-31T21:08:30.441586Z
crust__impcheck,crust,impcheck,C,Rust,data/tool_projects/crust/impcheck/c,,data/tool_projects/crust/impcheck/rust,,1984,6,123,ok,,2026-07-31T21:08:30.475171Z
crust__inversion_list,crust,inversion_list,C,Rust,data/tool_projects/crust/inversion_list/c,,data/tool_projects/crust/inversion_list/rust,,1509,15,62,ok,,2026-07-31T21:08:30.505605Z
crust__jccc,crust,jccc,C,Rust,data/tool_projects/crust/jccc/c,,data/tool_projects/crust/jccc/rust,,1696,4,77,ok,,2026-07-31T21:08:30.544209Z
crust__kairocompiler,crust,kairocompiler,C,Rust,data/tool_projects/crust/kairocompiler/c,,data/tool_projects/crust/kairocompiler/rust,,1710,2,136,ok,,2026-07-31T21:08:30.565924Z
crust__kd3,crust,kd3,C,Rust,data/tool_projects/crust/kd3/c,,data/tool_projects/crust/kd3/rust,,554,1,31,ok,,2026-07-31T21:08:30.573141Z
crust__lambda-calculus-eval,crust,lambda-calculus-eval,C,Rust,data/tool_projects/crust/lambda-calculus-eval/c,,data/tool_projects/crust/lambda-calculus-eval/rust,,1786,22,109,ok,,2026-07-31T21:08:30.603109Z
crust__leftpad,crust,leftpad,C,Rust,data/tool_projects/crust/leftpad/c,,data/tool_projects/crust/leftpad/rust,,129,1,3,ok,,2026-07-31T21:08:30.612845Z
crust__lib2bit,crust,lib2bit,C,Rust,data/tool_projects/crust/lib2bit/c,,data/tool_projects/crust/lib2bit/rust,,785,1,23,ok,,2026-07-31T21:08:30.626414Z
crust__libbase122,crust,libbase122,C,Rust,data/tool_projects/crust/libbase122/c,,data/tool_projects/crust/libbase122/rust,,1052,7,28,ok,,2026-07-31T21:08:30.637130Z
crust__libbeaufort,crust,libbeaufort,C,Rust,data/tool_projects/crust/libbeaufort/c,,data/tool_projects/crust/libbeaufort/rust,,584,3,16,ok,,2026-07-31T21:08:30.649280Z
crust__libfor,crust,libfor,C,Rust,data/tool_projects/crust/libfor/c,,data/tool_projects/crust/libfor/rust,,28875,0,431,ok,,2026-07-31T21:08:30.692623Z
crust__libm17,crust,libm17,C,Rust,data/tool_projects/crust/libm17/c,,data/tool_projects/crust/libm17/rust,,6157,7,126,ok,,2026-07-31T21:08:30.762911Z
crust__libpgn,crust,libpgn,C,Rust,data/tool_projects/crust/libpgn/c,,data/tool_projects/crust/libpgn/rust,,2633,21,105,ok,,2026-07-31T21:08:30.803077Z
crust__libpsbt,crust,libpsbt,C,Rust,data/tool_projects/crust/libpsbt/c,,data/tool_projects/crust/libpsbt/rust,,1535,4,58,ok,,2026-07-31T21:08:30.816522Z
crust__libqueue,crust,libqueue,C,Rust,data/tool_projects/crust/libqueue/c,,data/tool_projects/crust/libqueue/rust,,218,1,7,ok,,2026-07-31T21:08:30.830294Z
crust__libtinyfseq,crust,libtinyfseq,C,Rust,data/tool_projects/crust/libtinyfseq/c,,data/tool_projects/crust/libtinyfseq/rust,,927,2,14,ok,,2026-07-31T21:08:30.845234Z
crust__libutf,crust,libutf,C,Rust,data/tool_projects/crust/libutf/c,,data/tool_projects/crust/libutf/rust,,2273,11,93,ok,,2026-07-31T21:08:30.880085Z
crust__libvcd,crust,libvcd,C,Rust,data/tool_projects/crust/libvcd/c,,data/tool_projects/crust/libvcd/rust,,225,1,10,ok,,2026-07-31T21:08:30.888463Z
crust__libwecan,crust,libwecan,C,Rust,data/tool_projects/crust/libwecan/c,,data/tool_projects/crust/libwecan/rust,,1339,1,18,ok,,2026-07-31T21:08:30.898652Z
crust__linear-algebra-c,crust,linear-algebra-c,C,Rust,data/tool_projects/crust/linear-algebra-c/c,,data/tool_projects/crust/linear-algebra-c/rust,,1415,24,112,ok,,2026-07-31T21:08:30.908623Z
crust__ljmm,crust,ljmm,C,Rust,data/tool_projects/crust/ljmm/c,,data/tool_projects/crust/ljmm/rust,,378,2,10,ok,,2026-07-31T21:08:30.916865Z
crust__ltre,crust,ltre,C,Rust,data/tool_projects/crust/ltre/c,,data/tool_projects/crust/ltre/rust,,1931,1,47,ok,,2026-07-31T21:08:30.925112Z
crust__math-library-in-c,crust,math-library-in-c,C,Rust,data/tool_projects/crust/math-library-in-c/c,,data/tool_projects/crust/math-library-in-c/rust,,474,16,32,ok,,2026-07-31T21:08:30.932548Z
crust__matrix_multiplication,crust,matrix_multiplication,C,Rust,data/tool_projects/crust/matrix_multiplication/c,,data/tool_projects/crust/matrix_multiplication/rust,,656,2,16,ok,,2026-07-31T21:08:30.941662Z
crust__mdb,crust,mdb,C,Rust,data/tool_projects/crust/mdb/c,,data/tool_projects/crust/mdb/rust,,1869,4,45,ok,,2026-07-31T21:08:30.959388Z
crust__megalania,crust,megalania,C,Rust,data/tool_projects/crust/megalania/c,,data/tool_projects/crust/megalania/rust,,3960,7,119,ok,,2026-07-31T21:08:30.998724Z
crust__merkle-tree-c,crust,merkle-tree-c,C,Rust,data/tool_projects/crust/merkle-tree-c/c,,data/tool_projects/crust/merkle-tree-c/rust,,1072,6,50,ok,,2026-07-31T21:08:31.006797Z
crust__morton,crust,morton,C,Rust,data/tool_projects/crust/morton/c,,data/tool_projects/crust/morton/rust,,233,1,10,ok,,2026-07-31T21:08:31.014184Z
crust__murmurhash_c,crust,murmurhash_c,C,Rust,data/tool_projects/crust/murmurhash_c/c,,data/tool_projects/crust/murmurhash_c/rust,,272,1,8,ok,,2026-07-31T21:08:31.022016Z
crust__mvptree,crust,mvptree,C,Rust,data/tool_projects/crust/mvptree/c,,data/tool_projects/crust/mvptree/rust,,1894,1,44,ok,,2026-07-31T21:08:31.031276Z
crust__nandc,crust,nandc,C,Rust,data/tool_projects/crust/nandc/c,,data/tool_projects/crust/nandc/rust,,122,11,15,ok,,2026-07-31T21:08:31.038535Z
crust__phills_dht,crust,phills_dht,C,Rust,data/tool_projects/crust/phills_dht/c,,data/tool_projects/crust/phills_dht/rust,,607,29,38,ok,,2026-07-31T21:08:31.048080Z
crust__quadtree,crust,quadtree,C,Rust,data/tool_projects/crust/quadtree/c,,data/tool_projects/crust/quadtree/rust,,468,4,28,ok,,2026-07-31T21:08:31.061036Z
crust__razz_simulation,crust,razz_simulation,C,Rust,data/tool_projects/crust/razz_simulation/c,,data/tool_projects/crust/razz_simulation/rust,,1944,1,44,ok,,2026-07-31T21:08:31.077028Z
crust__rbtree-lab,crust,rbtree-lab,C,Rust,data/tool_projects/crust/rbtree-lab/c,,data/tool_projects/crust/rbtree-lab/rust,,1592,7,87,ok,,2026-07-31T21:08:31.093404Z
crust__recordmanager,crust,recordmanager,C,Rust,data/tool_projects/crust/recordmanager/c,,data/tool_projects/crust/recordmanager/rust,,3228,3,76,ok,,2026-07-31T21:08:31.113049Z
crust__rect_pack_h,crust,rect_pack_h,C,Rust,data/tool_projects/crust/rect_pack_h/c,,data/tool_projects/crust/rect_pack_h/rust,,433,6,22,ok,,2026-07-31T21:08:31.120523Z
crust__remimu,crust,remimu,C,Rust,data/tool_projects/crust/remimu/c,,data/tool_projects/crust/remimu/rust,,1347,1,4,ok,,2026-07-31T21:08:31.127400Z
crust__rhbloom,crust,rhbloom,C,Rust,data/tool_projects/crust/rhbloom/c,,data/tool_projects/crust/rhbloom/rust,,442,1,20,ok,,2026-07-31T21:08:31.134779Z
crust__roaring-bitmap,crust,roaring-bitmap,C,Rust,data/tool_projects/crust/roaring-bitmap/c,,data/tool_projects/crust/roaring-bitmap/rust,,936,15,52,ok,,2026-07-31T21:08:31.143092Z
crust__rubiksolver,crust,rubiksolver,C,Rust,data/tool_projects/crust/rubiksolver/c,,data/tool_projects/crust/rubiksolver/rust,,824,6,39,ok,,2026-07-31T21:08:31.158396Z
crust__satc,crust,satc,C,Rust,data/tool_projects/crust/satc/c,,data/tool_projects/crust/satc/rust,,1586,4,52,ok,,2026-07-31T21:08:31.166746Z
crust__simple-config,crust,simple-config,C,Rust,data/tool_projects/crust/simple-config/c,,data/tool_projects/crust/simple-config/rust,,1647,7,68,ok,,2026-07-31T21:08:31.186863Z
crust__simple-sparsehash,crust,simple-sparsehash,C,Rust,data/tool_projects/crust/simple-sparsehash/c,,data/tool_projects/crust/simple-sparsehash/rust,,698,12,33,ok,,2026-07-31T21:08:31.194287Z
crust__simple_lang,crust,simple_lang,C,Rust,data/tool_projects/crust/simple_lang/c,,data/tool_projects/crust/simple_lang/rust,,802,3,19,ok,,2026-07-31T21:08:31.216889Z
crust__simplexml,crust,simplexml,C,Rust,data/tool_projects/crust/simplexml/c,,data/tool_projects/crust/simplexml/rust,,685,3,28,ok,,2026-07-31T21:08:31.224537Z
crust__skp,crust,skp,C,Rust,data/tool_projects/crust/skp/c,,data/tool_projects/crust/skp/rust,,1919,3,77,ok,,2026-07-31T21:08:31.235994Z
crust__slothlang,crust,slothlang,C,Rust,data/tool_projects/crust/slothlang/c,,data/tool_projects/crust/slothlang/rust,,495,3,16,ok,,2026-07-31T21:08:31.250669Z
crust__ted,crust,ted,C,Rust,data/tool_projects/crust/ted/c,,data/tool_projects/crust/ted/rust,,1398,1,45,ok,,2026-07-31T21:08:31.264104Z
crust__tisp,crust,tisp,C,Rust,data/tool_projects/crust/tisp/c,,data/tool_projects/crust/tisp/rust,,4416,1,99,ok,,2026-07-31T21:08:31.280997Z
crust__totp,crust,totp,C,Rust,data/tool_projects/crust/totp/c,,data/tool_projects/crust/totp/rust,,365,5,18,ok,,2026-07-31T21:08:31.288838Z
crust__ulidgen,crust,ulidgen,C,Rust,data/tool_projects/crust/ulidgen/c,,data/tool_projects/crust/ulidgen/rust,,153,5,8,ok,,2026-07-31T21:08:31.298498Z
crust__utf8,crust,utf8,C,Rust,data/tool_projects/crust/utf8/c,,data/tool_projects/crust/utf8/rust,,674,25,40,ok,,2026-07-31T21:08:31.308430Z
crust__vaultsync,crust,vaultsync,C,Rust,data/tool_projects/crust/vaultsync/c,,data/tool_projects/crust/vaultsync/rust,,5277,1,103,ok,,2026-07-31T21:08:31.343064Z
crust__vec,crust,vec,C,Rust,data/tool_projects/crust/vec/c,,data/tool_projects/crust/vec/rust,,533,22,10,ok,,2026-07-31T21:08:31.352678Z
crust__worsp,crust,worsp,C,Rust,data/tool_projects/crust/worsp/c,,data/tool_projects/crust/worsp/rust,,2859,4,137,ok,,2026-07-31T21:08:31.370088Z
crust__xopt,crust,xopt,C,Rust,data/tool_projects/crust/xopt/c,,data/tool_projects/crust/xopt/rust,,2881,2,25,ok,,2026-07-31T21:08:31.380730Z
oxidizer__checkdigit,oxidizer,checkdigit,Go,Rust,data/tool_projects/oxidizer/checkdigit/go,,,data/tool_projects/oxidizer/checkdigit/rust,1384,24,66,ok,,2026-07-31T21:08:31.392608Z
oxidizer__go-edlib,oxidizer,go-edlib,Go,Rust,data/tool_projects/oxidizer/go-edlib/go,,,data/tool_projects/oxidizer/go-edlib/rust,2177,36,93,ok,,2026-07-31T21:08:31.413130Z
oxidizer__gohistogram,oxidizer,gohistogram,Go,Rust,data/tool_projects/oxidizer/gohistogram/go,,,data/tool_projects/oxidizer/gohistogram/rust,15388,2,25,ok,,2026-07-31T21:08:31.421459Z
oxidizer__gonameparts,oxidizer,gonameparts,Go,Rust,data/tool_projects/oxidizer/gonameparts/go,,,data/tool_projects/oxidizer/gonameparts/rust,650,24,42,ok,,2026-07-31T21:08:31.426273Z
oxidizer__stats,oxidizer,stats,Go,Rust,data/tool_projects/oxidizer/stats/go,,,data/tool_projects/oxidizer/stats/rust,4792,104,299,ok,,2026-07-31T21:08:31.466046Z
oxidizer__textrank,oxidizer,textrank,Go,Rust,data/tool_projects/oxidizer/textrank/go,,,data/tool_projects/oxidizer/textrank/rust,1819,8,69,ok,,2026-07-31T21:08:31.480771Z
alphatrans__commons-cli,alphatrans,commons-cli,Java,Python,data/tool_projects/alphatrans/commons-cli/java,,,data/tool_projects/alphatrans/commons-cli/python,9895,309,312,ok,,2026-07-31T21:08:31.538794Z
alphatrans__commons-csv,alphatrans,commons-csv,Java,Python,data/tool_projects/alphatrans/commons-csv/java,,,data/tool_projects/alphatrans/commons-csv/python,11640,297,267,ok,,2026-07-31T21:08:31.597298Z
alphatrans__commons-fileupload,alphatrans,commons-fileupload,Java,Python,data/tool_projects/alphatrans/commons-fileupload/java,,,data/tool_projects/alphatrans/commons-fileupload/python,5887,39,186,ok,,2026-07-31T21:08:31.653842Z
alphatrans__commons-validator,alphatrans,commons-validator,Java,Python,data/tool_projects/alphatrans/commons-validator/java,,,data/tool_projects/alphatrans/commons-validator/python,25271,91,924,ok,,2026-07-31T21:08:31.778976Z
skel__bst,skel,bst,Python,JavaScript,data/tool_projects/skel/bst/python,,,data/tool_projects/skel/bst/javascript,675,11,37,ok,,2026-07-31T21:08:31.782453Z
skel__colorsys,skel,colorsys,Python,JavaScript,data/tool_projects/skel/colorsys/python,,,data/tool_projects/skel/colorsys/javascript,307,1,15,ok,,2026-07-31T21:08:31.784438Z
skel__heapq,skel,heapq,Python,JavaScript,data/tool_projects/skel/heapq/python,,,data/tool_projects/skel/heapq/javascript,396,11,34,ok,,2026-07-31T21:08:31.786509Z
skel__html,skel,html,Python,JavaScript,data/tool_projects/skel/html/python,,,data/tool_projects/skel/html/javascript,1344,0,67,ok,,2026-07-31T21:08:31.790648Z
skel__mathgen,skel,mathgen,Python,JavaScript,data/tool_projects/skel/mathgen/python,,,data/tool_projects/skel/mathgen/javascript,1404,4,98,ok,,2026-07-31T21:08:31.794151Z
skel__rbt,skel,rbt,Python,JavaScript,data/tool_projects/skel/rbt/python,,,data/tool_projects/skel/rbt/javascript,776,9,43,ok,,2026-07-31T21:08:31.796748Z
skel__strsim,skel,strsim,Python,JavaScript,data/tool_projects/skel/strsim/python,,,data/tool_projects/skel/strsim/javascript,1275,18,110,ok,,2026-07-31T21:08:31.800284Z
skel__toml,skel,toml,Python,JavaScript,data/tool_projects/skel/toml/python,,,data/tool_projects/skel/toml/javascript,1728,7,109,ok,,2026-07-31T21:08:31.803957Z
