subject_id,subject,variant,repetition,loc,run_completion,run_completion_status,run_completion_reason,contract_integrity,contract_integrity_status,contract_integrity_reason,compilation,compilation_status,compilation_reason,fixed_contract_tests,fixed_contract_tests_status,fixed_contract_tests_reason,function_coverage_percent,function_coverage_percent_status,function_coverage_percent_reason,line_coverage_percent,line_coverage_percent_status,line_coverage_percent_reason,elapsed_seconds,elapsed_seconds_status,elapsed_seconds_reason,input_tokens,input_tokens_status,input_tokens_reason,output_tokens,output_tokens_status,output_tokens_reason,assertions_executed,assertions_executed_status,assertions_executed_reason,assertions_passed,assertions_passed_status,assertions_passed_reason,assertions_failed,assertions_failed_status,assertions_failed_reason,pointer_arithmetic,pointer_arithmetic_status,pointer_arithmetic_reason,raw_pointer_declarations,raw_pointer_declarations_status,raw_pointer_declarations_reason,raw_pointer_dereferences,raw_pointer_dereferences_status,raw_pointer_dereferences_reason,unsafe_lines,unsafe_lines_status,unsafe_lines_reason,unsafe_type_casts,unsafe_type_casts_status,unsafe_type_casts_reason,unsafe_calls,unsafe_calls_status,unsafe_calls_reason
11,robotfindskitten,full,0,838,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
12,libcsv,full,0,1035,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
13,avl-tree,full,0,1170,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
14,libopenaptx,full,0,1333,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
15,libtree,full,0,1412,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
16,opl,full,0,1642,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
17,libzahl,full,0,2575,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
18,zopfli,full,0,2937,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
19,snudown,full,0,5271,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
20,lodepng,full,0,5606,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
21,bzip2,full,0,5861,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
22,binn,full,0,6361,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
23,tulpindicator,full,0,13200,,missing,recodeagent_run_state.json is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,run state is unavailable,,missing,no Copilot JSONL logs were found,,missing,no Copilot JSONL logs were found,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent,,missing,oracle or immutable evaluator is absent
